Organization Name,Date you began work,Type,Status,City,Major,College,Degree,Major2,Date work ends,State,Zip+4,New Job Title
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Manhattan,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10016,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Bronx,Computer Science,Lehman College,BS,Computer Science ,,New York,10452,Tech Support Intern
CUNY 311 Project,7/8/2019,Customer Service,Working,Brooklyn,Education,Brooklyn College,BA,Children and Youth Studies ,,New York,11224-1307,Student Call Taker
NYC Human Resources Administration (HRA),3/9/2020,Client Service/Tech Support,Working,Manhattan,Computer Science,Hunter College,,,,New York,11214,Tech Support Intern
NYC Human Resources Administration (HRA),12/23/2019,Business Analysis,Working,NA,Finance,Brooklyn College,BBA,Finance ,,,,IT Contract Analyst
NYC Department of Education (DOE),12/2/2019,Client Service/Tech Support,Working,Brooklyn,Computer Science,Brooklyn College,BS,Computer Science ,,New York,11210,DOE Tech Intern
NYC Department of Education (DOE),11/12/2019,Client Service/Tech Support,Working,Bronx,Computer Information Systems/Science,Bronx Community College,BBA,Computer Information Sys ,,New York,10460,Tech Support Intern
Civil Service Pathways Fellowship ,1/22/2019,Policy/Program Analysis,Working,Queens,Psychology,Hunter College,BA,Psychology ,,New York,11385,DCAS - The Office of the Commissioner
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,"Computer Information Systems/Science, Computer Systems Technology",College of Staten Island,BS,Info Systems & Informatics ,,New York,11203,Tech Support Intern
NYC Department of Education (DOE),7/8/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11226,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Manhattan,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11691,Tech Support Intern
NYC Department of Citywide Administrative Services (DCAS),7/22/2019,Policy/Program Analysis,Working,Brooklyn,Communications,Baruch College,BA,Business Communications ,,New York,11231,DCAS - Bureau of Examination – Classification and Compensation Unit
CUNY 311 Project,8/5/2019,Customer Service,Working,Brooklyn,Education,York College,BA,Sociology ,,New York,11207,Student Call Taker
NYC Human Resources Administration (HRA),2/25/2019,Client Service/Tech Support,Employed,Queens,Computer Science,Queens College,BS,Computer Science ,,New York,11377,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Staten Island,"Mathematics, Education",City College,BS,Applied Mathematics ,,New York,10301,Tech Support Intern
NYC DoITT,7/15/2019,Policy/Program Analysis,Working,Queens,Computer Information Systems/Science,Borough of Manhattan Community College,BS,Computer Sci and Info Sec ,,New York,11435,Change Control Fellow
NYC Human Resources Administration (HRA),12/26/2018,Application Development,Working,Queens,Computer Science,Queens College,BA,Computer Science ,,New York,11432,App and Database Intern
NYC Department of Education (DOE),7/8/2019,Client Service/Tech Support,Working,Bronx,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10467,Tech Support Intern
NYC Department of Correction (DOC),7/22/2019,Data/Digital Services,Working,Staten Island,Computer Information Systems/Science,College of Staten Island,BS,Info Systems & Informatics ,,New York,10301,DOC - Commissioner’s Office – Office of Constituent & Grievance Services
NYC DoITT,10/2/2018,,Working,Queens,Computer Information Systems/Science,Brooklyn College,BS,Information Systems ,,New York,11423,DOITT CityWide Services Desk Agent
NYC Human Resources Administration (HRA),1/13/2020,Data Analytics,Working,Queens,"Computer Information Systems/Science, Computer Systems Technology",Baruch College,BBA,Computer Information Sys ,,New York,11416, Assistant Statistical Analysis Internship
NYC Department of Education (DOE),1/2/2020,Business Analysis,Working,New Jersey,Computer Science,College of Staten Island,MS,Computer Science,,New Jersey,7306,Business Analyst Intern
NYC Department of Education (DOE),9/25/2019,Client Service/Tech Support,Working,Brooklyn,Mechanical,City College,BE,Mechanical Engr ,,New York,11208,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Staten Island,Computer Science,City College,BS,Computer Science ,,New York,10301,Tech Support Intern
NYC Department of Education (DOE),7/8/2019,Client Service/Tech Support,Working,Bronx,Computer Information Systems/Science,Lehman College,BS,Computer Information Sys ,,New York,10467,Tech Support Intern
NYC Department of Education (DOE),2/26/2020,Client Service/Tech Support,Working,Bronx,Computer Science,City College,BS,Computer Science ,,New York,10467,Tech Support Intern
NYC Department of Education (DOE),2/24/2020,Client Service/Tech Support,Employed,Brooklyn,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11230,Tech Support Intern
NYC Department of Education (DOE),10/28/2019,Client Service/Tech Support,Employed,Brooklyn,Computer Science,Brooklyn College,BS,Computer Science ,,New York,11234,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,"Computer Engineering Technology, Computer Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,11220,Tech Support Intern
NYC Human Resources Administration (HRA),12/5/2018,Application Development,Working,Other New York,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11756,Programmer Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Manhattan,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10025,Tech Support Intern
NYC Department of Education (DOE),12/4/2019,Client Service/Tech Support,Employed,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,,11416,Office of School Health Technology Intern
NYC Department of Education (DOE),1/29/2020,Client Service/Tech Support,Employed,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11420,Tech Support Intern
Mayors Office of Housing Recovery Operations (HRO),3/12/2019,,Working,NA,Computer Information Systems/Science,LaGuardia Community College,BBA,Computer Information Sys ,,,,Quality Assuracne Analyst
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Queens,Computer Information Systems/Science,Brooklyn College,BS,Information Systems ,,New York,11385,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,Computer Science,Brooklyn College,BS,Computer Science ,,New York,11229,Tech Support Intern
NYC Human Resources Administration (HRA),12/17/2019,Business Analysis,Working,Brooklyn,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11208,IT Contact Analyst
NYC Administration for Children's Services (ACS),2/21/2017,Client Service/Tech Support,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11432,IT Services Desk Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Bronx,Computer Information Systems/Science,Lehman College,BS,Computer Information Sys ,,New York,10467,Tech Support Intern
CUNY 311 Project,1/8/2018,Customer Service,Working,Brooklyn,"Computer Engineering, Computer Information Systems/Science",Brooklyn College,BA,Communication ,,New York,11225,Student Call Taker
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Staten Island,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10303,Tech Support Intern
NYC Department of Education (DOE),2/27/2020,Database Admin,Working,Brooklyn,Computer Information Systems/Science,Brooklyn College,MS,Information Systems,,New York,11220,Tech Support Intern
CUNY 311 Project,1/8/2018,Customer Service,Working,Manhattan,"Finance, Psychology",City College,BS,Psychology ,,New York,10011,Student Call Taker
NYC Human Resources Administration (HRA),1/27/2020,Client Service/Tech Support,Employed,Brooklyn,"Accounting, Finance",Brooklyn College,,Non Degree Undergraduate,,New York,11230,IT Server Support Specialist 
NYC Department of Education (DOE),1/29/2020,Network Administration,Employed,Brooklyn,Civil,City College,BE,Civil Engr ,,New York,11223,IPDVS Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Queens,Marketing,Baruch College,BBA,Marketing Management ,,New York,11432,Tech Support Intern
NYC Human Resources Administration (HRA),1/1/2020,Application Development,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11207,HRA Fellow
NYC Department of Education (DOE),10/3/2019,Client Service/Tech Support,Working,Bronx,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10473,Tech Support Intern
NYC Department of Health and Mental Hygiene (DOH),1/2/2019,Communications,Working,Brooklyn,Public Health,CUNY Graduate School of Public Health and Health Policy,MPH,Public Health,,New York,11212,Viral Hepatitis Intern
NYC Human Resources Administration (HRA),11/20/2017,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BS,Data Science,,New York,11201,Hardware/Software and desktop tech
NYC Department of Education (DOE),9/25/2019,Client Service/Tech Support,Working,Manhattan,"Computer Information Systems/Science, Computer Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,10039,Tech Support Intern
CUNY 311 Project,7/9/2018,Customer Service,Working,Brooklyn,Communications,Brooklyn College,BA,Psychology ,,New York,11203,Student Call Taker
NYC Human Resources Administration (HRA),9/4/2019,Client Service/Tech Support,Working,Brooklyn,Computer Science,City College,BS,Computer Science ,,New York,11223,IT Support Intern
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11105,Tech Support Intern
CUNY 311 Project,7/8/2019,Customer Service,Working,Queens,"Economics, Mathematics",City College,BA,Economics ,,New York,11416,Student Call Taker
NYC Department of Education (DOE),9/9/2019,Client Service/Tech Support,Working,Queens,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11422,Tech Support Intern
NYC Department of Education (DOE),2/10/2020,Client Service/Tech Support,Employed,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11208,Tech Support Intern
NYC Department of Small Business Services (SBS),1/22/2018,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11236,Services Support Desk Intern
CUNY 311 Project,6/18/2018,Customer Service,Working,Queens,Geology/Earth Science,Queens College,BA,Environmental Studies ,,New York,11369,Student Call Taker
NYC Department of Education (DOE),2/10/2020,Client Service/Tech Support,Employed,Bronx,Computer Information Systems/Science,Lehman College,BS,Computer Information Sys ,,New York,10462,Tech Support Intern
NYC Human Resources Administration (HRA),1/16/2019,Client Service/Tech Support,Working,Manhattan,"Computer Information Systems/Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,10009,IT Intern
Mayors Office of Housing Recovery Operations (HRO),8/6/2018,,Working,Other New York,Computer Information Systems/Science,Baruch College,BBA,Computer Information Sys ,,New York,11552-3906,Data Analyst Intern
NYC Department of Education (DOE),9/12/2019,Client Service/Tech Support,Working,Queens,Accounting,Queens College,BA,Accounting ,,New York,11432,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,Electrical,New York City College of Technology,,Non Degree Undergraduate,,New York,11233,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Queens,Communications,York College,BS,Communications Technology ,,New York,11413,Tech Support Intern
NYC Department of Education (DOE),10/16/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11226,Tech Support Intern
NYC Human Resources Administration (HRA),12/3/2019,Client Service/Tech Support,Working,Bronx,Computer Science,John Jay College of Criminal Justice,BS,Computer Sci and Info Sec ,,New York,10467,IT Intern
Civil Service Pathways Fellowship ,1/22/2019,Finance/Procurement ,Working,Queens,Accounting,Baruch College,MPA,Public Administration,,New York,11373,DEP - COMM/ Office of Environmental Remediation
CUNY 311 Project,8/5/2019,Customer Service,Working,Brooklyn,Accounting,Medgar Evers College,BS,Accounting ,,New York,11213,Student Call Taker
CUNY 311 Project,1/5/2015,Customer Service,Working,Brooklyn,"English Language/Lit, Management",Brooklyn College,BA,English ,,New York,11203,Student Call Taker
NYC DoITT,12/5/2017,Client Service/Tech Support,Working,Manhattan,"Computer Information Systems/Science, Computer Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,11433,Citywide Service Desk Intern
NYC Department of Education (DOE),7/1/2019,Client Service/Tech Support,Working,Queens,Computer Science,Queens College,BA,Computer Science ,,New York,11434,Tech Support Intern
NYC Department of Education (DOE),8/7/2019,Client Service/Tech Support,Working,Staten Island,Computer Science,College of Staten Island,BS,Computer Science ,,New York,10310,Helpdesk/Desktop Support
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Queens,Psychology,Hunter College,BA,Psychology ,,New York,11106,Tech Support Intern
NYC Department of Education (DOE),12/2/2019,Client Service/Tech Support,Working,Bronx,Computer Science,Lehman College,BS,Computer Science ,,New York,10472,DOE Tech Intern
CUNY 311 Project,6/18/2018,Customer Service,Working,Brooklyn,Psychology,New York City College of Technology,BS,Human Services ,,New York,11236,Student Call Taker
NYC Human Resources Administration (HRA),1/13/2020,Client Service/Tech Support,Working,Brooklyn,"Computer Information Systems/Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,11229,APS Helpdesk Specialist
NYC Human Resources Administration (HRA),9/1/2019,Client Service/Tech Support,Working,Queens,Computer Science,City College,BS,Computer Science ,,New York,11691,Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,NA,Communications,City College,BA,Communications ,,,,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11219,Tech Support Intern
NYC Department of Education (DOE),12/17/2019,Client Service/Tech Support,Employed,Bronx,Computer Systems Technology,Lehman College,BS,Computer Information Sys ,,New York,10456,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Brooklyn,"Computer Information Systems/Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,11209,Tech Support Intern
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Staten Island,Computer Science,College of Staten Island,BS,Computer Science ,,New York,10303,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Other New York,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11105,Tech Support Intern
NYC Human Resources Administration (HRA),12/2/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,Borough of Manhattan Community College,BBA,Computer Information Sys ,,New York,11416,IT Intern
CUNY 311 Project,7/9/2018,Customer Service,Working,Queens,Psychology,York College,BA,Undeclared ,,New York,11419,Student Call Taker
NYC Administration for Children's Services (ACS),1/7/2019,,Working,Queens,Computer Engineering Technology,New York City College of Technology,MS,Digital Frnsc Cyc,,New York,11416,Data Security Service Specialist Intern
NYC Department of Education (DOE),1/14/2020,Client Service/Tech Support,Working,Brooklyn,Computer Science,Brooklyn College,BS,Computer Science ,,New York,11236,Tech Support Intern
NYC Taxi and Limousine Commission (TLC),11/25/2019,Customer Service,Working,Queens,Hotel and Restaurant Management,LaGuardia Community College,AAS,Travel Tourism and Hosp ,,New York,11103,Call Center Agent
NYC Department of Education (DOE),1/13/2020,Client Service/Tech Support,Employed,Brooklyn,"Computer Engineering, Systems",City College,BE,Computer Engr ,,New York,11219,Tech Support Intern
NYC Human Resources Administration (HRA),12/17/2019,Network Administration,Working,Queens,"Computer Information Systems/Science, Computer Systems Technology",Borough of Manhattan Community College,AAS,Computer Network Tech ,,New York,11432,IT Network Technician
NYC Department of Education (DOE),1/14/2020,Client Service/Tech Support,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11435,Tech Support Intern
CUNY 311 Project,1/6/2020,Customer Service,Employed,Brooklyn,Computer Information Systems/Science,Brooklyn College,BS,Information Systems ,,New York,11223,Student Call Taker
CUNY 311 Project,8/5/2019,Customer Service,Working,Queens,Management,Baruch College,BBA,International Business ,,New York,11423,Student Call Taker
NYC Department of Education (DOE),9/30/2019,Cybersecurity,Employed,NA,Management,Brooklyn College,BS,Business Management ,,,,DOE Security Applications Access Intern
NYC Department of Education (DOE),9/25/2019,Client Service/Tech Support,Working,NA,Electrical,LaGuardia Community College,AAS,Computer Technology ,,,,Tech Support Intern
NYC Department of Education (DOE),1/13/2020,Client Service/Tech Support,Employed,Brooklyn,Computer Science,Brooklyn College,BS,Computer Science ,,New York,11223,Tech Support Intern
NYC Department of Education (DOE),12/3/2018,Client Service/Tech Support,Working,Queens,Computer Science,John Jay College of Criminal Justice,BS,Computer Sci and Info Sec ,,New York,11368,IPDVS Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Bronx,"Computer Information Systems/Science, Computer Science",John Jay College of Criminal Justice,BS,Computer Sci and Info Sec ,,New York,10454,Tech Support Intern
CUNY 311 Project,1/6/2020,Customer Service,Working,Queens,Hotel and Restaurant Management,Borough of Manhattan Community College,BS,Health Promotion Management ,,New York,11427,Student Call Taker
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Queens,Electrical,City College,BE,Electrical Engr ,,New York,11372,Tech Support Intern
NYC Department of Education (DOE),10/22/2019,Client Service/Tech Support,Working,Brooklyn,"Computer Engineering, Computer Science, Mechanical",Kingsborough Community College,AA,Liberal Arts ,,New York,11204,Assistive Technology Intern
NYC Department of Citywide Administrative Services (DCAS),7/22/2019,Data/Digital Services,Working,Queens,Accounting,Queens College,BA,Accounting ,,New York,11418,DCAS - Office of Citywide Procurement
NYC Department of Education (DOE),2/27/2020,Client Service/Tech Support,Working,Bronx,Computer Science,Lehman College,BS,Computer Science ,,New York,10467,Tech Support Intern
Civil Service Pathways Fellowship ,1/22/2019,Policy/Program Analysis,Working,Brooklyn,Political Science,Hunter College,BA,Political Science ,,New York,11214,DCAS - The Office of the Commissioner
NYC Department of Education (DOE),8/15/2018,Client Service/Tech Support,Working,Brooklyn,Computer Science,City College,BS,Computer Science ,,New York,11203,Helpdesk/Desktop Support
NYC DoITT,7/10/2017,Database Admin,Working,Queens,Computer Engineering,City College,BE,Computer Engr ,,New York,11432,Data Protection Services
NYC Department of Citywide Administrative Services (DCAS),2/25/2020,Data Analytics,Working,Queens,Mathematics,Hunter College,MA,Stat & Applied Math,,New York,11427,Workforce Strategy Data Intern 
NYC Human Resources Administration (HRA),11/14/2016,Client Service/Tech Support,Working,Queens,Computer Information Systems/Science,Hunter College,BTECH,Computer Systems ,,New York,11435,HRA Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Queens,"Computer Information Systems/Science, Computer Science",John Jay College of Criminal Justice,BS,Computer Sci and Info Sec ,,New York,11413,Tech Support Intern
NYC Human Resources Administration (HRA),2/3/2020,Client Service/Tech Support,Employed,Brooklyn,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11219,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Manhattan,Computer Information Systems/Science,Brooklyn College,BS,Computer Science ,,New York,11218,Tech Support Intern
NYC Department of Education (DOE),9/11/2019,Client Service/Tech Support,Working,Bronx,Computer Science,Brooklyn College,BS,Information Systems ,,New York,10456,Tech Support Intern
NYC Department of Citywide Administrative Services (DCAS),1/28/2019,Client Service/Tech Support,Working,Brooklyn,"Electrical, Systems",New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,11223,DCAS IT Helpdesk Intern
NYC Department of Education (DOE),2/12/2018,Network Administration,Working,Brooklyn,Mechanical,City College,BTECH,Mechanical Eng Tech ,,New York,11226,Helpdesk/Desktop Support
NYC Human Resources Administration (HRA),7/20/2015,Client Service/Tech Support,Working,Bronx,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,10460,Hardware/Software and Desktop Support
NYC Department of Education (DOE),12/2/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11203,DOE Tech Intern
NYC Department of Citywide Administrative Services (DCAS),4/9/2018,Client Service/Tech Support,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11368,Telecom and Network Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11208,Tech Support Intern
NYC Department of Small Business Services (SBS),9/4/2018,,Working,New Jersey,Computer Science,College of Staten Island,MS,Computer Science,,New Jersey,7306,Business Application Analyst and Developer
NYC Human Resources Administration (HRA),1/22/2019,Client Service/Tech Support,Working,NA,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,,,Helpdesk / Desktop support
NYC Department of Education (DOE),9/12/2019,Client Service/Tech Support,Working,Bronx,Computer Engineering,City College,BE,Computer Engr ,,New York,10462,Tech Support Intern
NYC DoITT,7/10/2017,Application Development,Working,Queens,"Computer Information Systems/Science, Computer Systems Technology",New York City College of Technology,BTECH,Computer Systems ,,New York,11106,User Interface Quality Assurance
NYC Department of Education (DOE),12/4/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,New York City College of Technology,BS,Information Systems ,,New York,11210,DOE Tech Intern
Civil Service Pathways Fellowship ,1/22/2019,Finance/Procurement ,Working,NA,"Computer Information Systems/Science, Finance",Baruch College,BBA,Computer Information Sys ,,,,MOCS - Procurement Accelerators
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,NA,Computer Information Systems/Science,Lehman College,BS,Computer Information Sys ,,,,Tech Support Intern
Civil Service Pathways Fellowship ,7/22/2019,Policy/Program Analysis,Working,Brooklyn,Economics,John Jay College of Criminal Justice,BS,Economics ,,New York,11208,HPD - Human Resources/Operations
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,NA,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,,,Tech Support Intern
NYC Department of Education (DOE),8/26/2019,Client Service/Tech Support,Working,Bronx,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10473,Tech Support Intern
NYC Department of Education (DOE),12/4/2019,Finance/Procurement ,Working,Queens,"Accounting, Finance, Operations Research",York College,BS,Business Adminstration ,,New York,11104,IT Finance and Procurement Operation Intern
NYC Department of Education (DOE),9/4/2019,Client Service/Tech Support,Working,Manhattan,Accounting,York College,BS,Accounting ,,New York,11436,Tech Support Intern
NYC Administration for Children's Services (ACS),3/11/2019,Client Service/Tech Support,Working,Queens,Mechanical,LaGuardia Community College,BE,Chemical Engr ,,New York,11420,Desktop Support Special Project Analyst
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Queens,Computer Science,Queens College,BA,Computer Science ,,New York,11377,Tech Support Intern
NYC Human Resources Administration (HRA),12/17/2019,Business Analysis,Working,Queens,Computer Information Systems/Science,John Jay College of Criminal Justice,BS,Computer Sci and Info Sec ,,New York,11435-5011,IT Analyst
NYC Department of Education (DOE),11/20/2019,Business Analysis,Working,Brooklyn,"Finance, Computer Systems Technology",Baruch College,BBA,Finance ,,New York,11218,Business Analyst Intern
CUNY 311 Project,7/8/2019,Customer Service,Working,Queens,Computer Information Systems/Science,New York City College of Technology,,Computer Information Systems/Science,,New York,11432,Student Call Taker
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Brooklyn,"Computer Information Systems/Science, Computer Science, Computer Systems Technology",New York City College of Technology,AS,Computer Science ,,New York,11206,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11355,Tech Support Intern
NYC Department of Education (DOE),11/4/2019,Business Analysis,Employed,Queens,Computer Information Systems/Science,Baruch College,BBA,Computer Information Sys ,,New York,11417,Business Analysis Intern
Mayors Office of Housing Recovery Operations (HRO),7/15/2019,Business Analysis,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11104,Data/Business Analyst.
Civil Service Pathways Fellowship ,1/22/2019,Finance/Procurement ,Working,Brooklyn,"Accounting, Finance, Management",Brooklyn College,BS,Public Acct & Bus Mgt & Fin ,,New York,11220,DOC – Financial Services/Procurement 
Civil Service Pathways Fellowship ,1/22/2019,Finance/Procurement ,Working,Brooklyn,"Accounting, Management, Political Science",Brooklyn College,BS,Public Acct & Bus Mgt & Fin ,,New York,11213,DEP - BWSO Budget & Procurement Unit 
NYC Administration for Children's Services (ACS),10/16/2019,Client Service/Tech Support,Working,Manhattan,Computer Systems Technology,LaGuardia Community College,BTECH,Computer Systems ,,New York,10026,Wireless Asset Management Analyst
NYC Human Resources Administration (HRA),1/22/2018,Client Service/Tech Support,Working,Brooklyn,Computer Engineering Technology,New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,11203,Helpdesk/Desktop Support
NYC Department of Education (DOE),9/17/2019,Client Service/Tech Support,Working,Bronx,"Computer Information Systems/Science, Computer Science, Mathematics",Lehman College,BS,Computer Science ,,New York,10466,Tech Support Intern
NYC DoITT,10/16/2019,Client Service/Tech Support,Working,Bronx,Computer Engineering,City College,BE,Computer Engr ,,New York,10458,Desktop Support Intern
NYC Department of Education (DOE),2/25/2019,Client Service/Tech Support,Working,Bronx,Computer Systems Technology,Guttman Community College,AAS,Information Technology ,,New York,10468,Tech Support Intern
NYC Department of Education (DOE),9/9/2019,Client Service/Tech Support,Working,Bronx,"Computer Science, Computer Systems Technology",John Jay College of Criminal Justice,BS,Computer Sci and Info Sec ,,New York,10454,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11235,Tech Support Intern
NYC Department of City Planning (DCP),8/27/2018,,Working,Staten Island,Computer Information Systems/Science,College of Staten Island,BS,Info Systems & Informatics ,,New York,10305,Data Engineering Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Bronx,Computer Information Systems/Science,Lehman College,BS,Computer Information Sys ,,New York,10456,Tech Support Intern
NYC Department of Education (DOE),12/2/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,Borough of Manhattan Community College,BTECH,Computer Systems ,,New York,11230,DOE Tech Intern
NYC Department of Education (DOE),1/23/2018,Network Administration,Working,NA,"Management, Psychology",York College,BS,Business Adminstration ,,,,DOE Security Applications Intern (ARIS)
NYC DoITT,7/10/2017,Network Administration,Working,Brooklyn,Computer Information Systems/Science,New York City College of Technology,BTECH,Computer Systems ,,New York,11235,Asset and Configuration Administration
NYC Department of Education (DOE),9/5/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11214,Helpdesk/Desktop Support
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11230,Tech Support Intern
NYC Department of Education (DOE),3/11/2019,Network Administration,Working,NA,Computer Science,Queens College,BA,Computer Science ,,,,Network Services Intern
NYC Department of Education (DOE),2/24/2020,Client Service/Tech Support,Employed,Bronx,Computer Science,Bronx Community College,AS,Computer Science ,,New York,10468,Tech Support Intern
NYC Department of Correction (DOC),10/22/2019,Client Service/Tech Support,Working,NA,"Accounting, Finance, Management",Kingsborough Community College,BBA,Finance ,,,,Desktop Support Intern
NYC Human Resources Administration (HRA),12/23/2019,Graphic Design,Working,Brooklyn,Art,New York City College of Technology,BTECH,Communication Design ,,New York,11224,Graphic Design Intern
CUNY 311 Project,8/5/2019,Customer Service,Working,Brooklyn,Biological Sciences,Kingsborough Community College,AS,Biology ,,New York,11234,Student Call Taker
NYC Department of Correction (DOC),9/18/2017,Accounting,Working,Queens,Sociology,John Jay College of Criminal Justice,BA,Criminology ,,New York,11418,Financial Services Intern
